npm/npmjs/@theia/outline-view/1.6.0, , approved, eclipse
npm/npmjs/-/ms/2.1.1, , approved, CQ17757
npm/npmjs/-/babel-plugin-transform-object-rest-spread/6.26.0, , approved, CQ18717
npm/npmjs/-/regjsparser/0.1.5, , approved, CQ18717
npm/npmjs/@types/range-parser/1.2.3, , approved, CQ18717
npm/npmjs/-/babel-plugin-syntax-dynamic-import/6.18.0, , approved, CQ18717
npm/npmjs/-/fragment-cache/0.2.1, , approved, CQ18717
npm/npmjs/-/regenerator-runtime/0.11.1, , approved, CQ18717
npm/npmjs/-/json-stringify-safe/5.0.1, ISC, approved, CQ16925
npm/npmjs/-/mime/1.6.0, , approved, CQ18717
npm/npmjs/-/escape-html/1.0.3, MIT, approved, CQ16925
npm/npmjs/-/postcss-discard-duplicates/2.1.0, , approved, CQ18717
npm/npmjs/-/progress/2.0.3, , approved, CQ18717
npm/npmjs/-/babel-types/6.26.0, , approved, CQ18717
npm/npmjs/-/icss-utils/2.1.0, , approved, CQ18717
npm/npmjs/-/lodash.memoize/4.1.2, , approved, CQ18717
npm/npmjs/-/path-browserify/0.0.1, MIT, approved, CQ16925
npm/npmjs/-/fs-constants/1.0.0, MIT, approved, CQ16925
npm/npmjs/-/global-prefix/1.0.2, , approved, CQ18717
npm/npmjs/-/caseless/0.12.0, Apache-2.0, approved, CQ16925
npm/npmjs/-/babel-helpers/6.24.1, , approved, CQ18717
npm/npmjs/-/postcss-reduce-idents/2.4.0, , approved, CQ18717
npm/npmjs/-/sha.js/2.4.11, MIT AND BSD-3-Clause, approved, emo_ip_team
npm/npmjs/-/homedir-polyfill/1.0.3, , approved, CQ18717
npm/npmjs/-/split-string/3.1.0, , approved, CQ18717
npm/npmjs/-/uniq/1.0.1, , approved, CQ18717
npm/npmjs/-/postcss-normalize-url/3.0.8, , approved, CQ18717
npm/npmjs/-/qs/6.5.2, BSD-3-Clause, approved, CQ16925
npm/npmjs/-/schema-utils/0.4.7, , approved, CQ18717
npm/npmjs/-/babel-plugin-transform-es2015-parameters/6.24.1, , approved, CQ18717
npm/npmjs/-/single-line-log/1.1.2, , approved, CQ18717
npm/npmjs/-/cookie-signature/1.0.6, MIT, approved, CQ16925
npm/npmjs/-/babel-traverse/6.26.0, , approved, CQ18717
npm/npmjs/-/default-shell/1.0.1, , approved, CQ18717
npm/npmjs/-/buffer-xor/1.0.3, MIT, approved, CQ16925
npm/npmjs/-/colors/1.1.2, , approved, CQ18717
npm/npmjs/-/postcss-filter-plugins/2.0.3, , approved, CQ18717
npm/npmjs/-/request/2.88.2, , approved, CQ18717
npm/npmjs/-/fast-plist/0.1.2, , approved, CQ18717
npm/npmjs/-/is-accessor-descriptor/0.1.6, , approved, CQ17757
npm/npmjs/-/pinkie-promise/2.0.1, MIT, approved, CQ16925
npm/npmjs/-/ajv/6.12.6, , approved, emo_ip_team
npm/npmjs/-/buffers/0.1.1, , approved, CQ18717
npm/npmjs/-/is-glob/2.0.1, , approved, CQ17757
npm/npmjs/@types/diff/3.5.3, , approved, CQ18717
npm/npmjs/-/html-comment-regex/1.1.2, , approved, CQ18717
npm/npmjs/-/alphanum-sort/1.0.2, , approved, CQ18717
npm/npmjs/-/is-absolute-url/2.1.0, , approved, CQ18717
npm/npmjs/-/is-dotfile/1.0.3, , approved, CQ17757
npm/npmjs/-/map-cache/0.2.2, , approved, CQ18717
npm/npmjs/-/babel-plugin-syntax-decorators/6.13.0, , approved, CQ18717
npm/npmjs/-/once/1.4.0, ISC, approved, CQ16925
npm/npmjs/-/webpack-cli/2.0.12, , approved, CQ18717
npm/npmjs/-/uniqs/2.0.0, , approved, CQ18717
npm/npmjs/-/domain-browser/1.2.0, MIT, approved, CQ16925
npm/npmjs/-/array-find-index/1.0.2, MIT, approved, CQ16925
npm/npmjs/-/chrome-trace-event/1.0.2, , approved, CQ18717
npm/npmjs/-/extend/3.0.2, , approved, CQ18717
npm/npmjs/-/union-value/1.0.1, , approved, CQ18717
npm/npmjs/-/event-stream/3.3.4, , approved, CQ18717
npm/npmjs/-/colormin/1.1.2, , approved, CQ18717
npm/npmjs/-/postcss-value-parser/3.3.1, , approved, CQ18717
npm/npmjs/-/rechoir/0.6.2, , approved, CQ18717
npm/npmjs/-/anymatch/2.0.0, , approved, CQ17757
npm/npmjs/-/color-name/1.1.3, , approved, CQ17757
npm/npmjs/-/base64-js/1.3.1, MIT, approved, CQ16925
npm/npmjs/-/js-tokens/3.0.2, , approved, CQ18717
npm/npmjs/-/has-unicode/2.0.1, ISC, approved, CQ16925
npm/npmjs/-/brorand/1.1.0, MIT, approved, CQ16925
npm/npmjs/-/wrappy/1.0.2, ISC, approved, CQ16925
npm/npmjs/-/require-directory/2.1.1, , approved, CQ18717
npm/npmjs/-/worker-loader/1.1.1, , approved, CQ18717
npm/npmjs/-/babel-plugin-syntax-class-properties/6.13.0, , approved, CQ18717
npm/npmjs/-/babel-helper-remap-async-to-generator/6.24.1, , approved, CQ18717
npm/npmjs/-/isarray/0.0.1, MIT, approved, CQ16925
npm/npmjs/-/accepts/1.3.7, MIT, approved, CQ16925
npm/npmjs/-/postcss-modules-scope/1.1.0, , approved, CQ18717
npm/npmjs/-/growl/1.10.5, , approved, CQ17757
npm/npmjs/-/har-schema/2.0.0, ISC, approved, CQ16925
npm/npmjs/-/duplexer2/0.1.4, BSD-3-Clause, approved, CQ16925
npm/npmjs/@types/route-parser/0.1.3, MIT, approved, emo_ip_team
npm/npmjs/-/normalize-range/0.1.2, , approved, CQ18717
npm/npmjs/-/performance-now/2.1.0, MIT, approved, CQ16925
npm/npmjs/@phosphor/coreutils/1.3.1, BSD-3-Clause, approved, emo_ip_team
npm/npmjs/-/sax/1.2.4, , approved, CQ18717
npm/npmjs/-/es6-promise/4.2.8, , approved, CQ18717
npm/npmjs/-/path-type/1.1.0, MIT, approved, CQ16925
npm/npmjs/@types/minimatch/3.0.3, , approved, CQ18717
npm/npmjs/-/file-icons-js/1.0.3, , approved, CQ18717
npm/npmjs/-/os-browserify/0.3.0, MIT, approved, CQ16925
npm/npmjs/-/got/6.7.1, , approved, CQ17757
npm/npmjs/-/setprototypeof/1.1.1, ISC, approved, CQ16925
npm/npmjs/-/brace-expansion/1.1.11, MIT, approved, CQ16925
npm/npmjs/-/icss-replace-symbols/1.1.0, , approved, CQ18717
npm/npmjs/-/log-update/1.0.2, , approved, CQ18717
npm/npmjs/-/anser/1.4.10, , approved, CQ18717
npm/npmjs/-/ret/0.1.15, , approved, CQ18717
npm/npmjs/-/is-natural-number/4.0.1, , approved, CQ18717
npm/npmjs/-/process/0.11.10, MIT, approved, CQ16925
npm/npmjs/-/browserify-rsa/4.0.1, MIT, approved, CQ16925
npm/npmjs/-/debug/3.2.6, , approved, CQ17757
npm/npmjs/-/p-locate/2.0.0, , approved, CQ18717
npm/npmjs/-/punycode/1.4.1, MIT, approved, CQ16925
npm/npmjs/-/crypto-browserify/3.12.0, MIT, approved, CQ16925
npm/npmjs/-/jsesc/1.3.0, , approved, CQ18717
npm/npmjs/-/babel-plugin-transform-exponentiation-operator/6.24.1, , approved, CQ18717
npm/npmjs/-/JSONStream/1.3.5, (MIT OR Apache-2.0), approved, CQ16925
npm/npmjs/-/is-observable/0.2.0, , approved, CQ18717
npm/npmjs/-/babel-plugin-transform-es2015-classes/6.24.1, , approved, CQ18717
npm/npmjs/-/v8-compile-cache/1.1.2, , approved, CQ18717
npm/npmjs/-/http-cache-semantics/3.8.1, , approved, CQ17757
npm/npmjs/-/import-lazy/2.1.0, , approved, CQ17757
npm/npmjs/-/invariant/2.2.4, , approved, CQ18717
npm/npmjs/-/oniguruma/7.2.1, MIT, approved, emo_ip_team
npm/npmjs/-/babel-helper-explode-class/6.24.1, , approved, CQ18717
npm/npmjs/-/babel-messages/6.23.0, , approved, CQ18717
npm/npmjs/-/elegant-spinner/1.0.1, , approved, CQ18717
npm/npmjs/-/loader-utils/0.2.17, , approved, CQ18717
npm/npmjs/@types/lodash/4.14.162, , approved, CQ18717
npm/npmjs/-/dir-glob/2.0.0, , approved, CQ18717
npm/npmjs/-/noop-logger/0.1.1, MIT, approved, CQ16925
npm/npmjs/-/babel-helper-bindify-decorators/6.24.1, , approved, CQ18717
npm/npmjs/-/ora/0.2.3, , approved, CQ18717
npm/npmjs/-/error-ex/1.3.2, MIT, approved, CQ16925
npm/npmjs/-/coa/1.0.4, , approved, CQ18717
npm/npmjs/-/jsbn/0.1.1, MIT, approved, CQ16925
npm/npmjs/-/babel-helper-hoist-variables/6.24.1, , approved, CQ18717
npm/npmjs/-/indent-string/3.2.0, , approved, CQ18717
npm/npmjs/-/p-lazy/1.0.0, , approved, CQ18717
npm/npmjs/-/postcss-discard-overridden/0.1.1, , approved, CQ18717
npm/npmjs/-/postcss-merge-idents/2.1.7, , approved, CQ18717
npm/npmjs/@types/tar-fs/1.16.3, , approved, CQ18717
npm/npmjs/-/babel-plugin-transform-es2015-shorthand-properties/6.24.1, , approved, CQ18717
npm/npmjs/-/tweetnacl/0.14.5, Unlicense, approved, emo_ip_team
npm/npmjs/-/cipher-base/1.0.4, MIT, approved, CQ16925
npm/npmjs/-/unique-slug/2.0.2, , approved, CQ18717
npm/npmjs/-/content-type/1.0.4, MIT, approved, CQ16925
npm/npmjs/-/builtin-status-codes/3.0.0, MIT, approved, CQ16925
npm/npmjs/-/redent/1.0.0, MIT, approved, CQ16925
npm/npmjs/@phosphor/keyboard/1.1.3, BSD-3-Clause, approved, emo_ip_team
npm/npmjs/-/log-symbols/1.0.2, , approved, CQ18717
npm/npmjs/-/babel-plugin-transform-es2015-block-scoped-functions/6.22.0, , approved, CQ18717
npm/npmjs/-/ansi-styles/2.2.1, MIT, approved, CQ16925
npm/npmjs/-/getpass/0.1.7, MIT, approved, CQ16925
npm/npmjs/-/normalize-url/2.0.1, , approved, CQ17757
npm/npmjs/-/babel-plugin-transform-es2015-spread/6.22.0, , approved, CQ18717
npm/npmjs/-/function-bind/1.1.1, MIT, approved, CQ16925
npm/npmjs/-/chainsaw/0.1.0, , approved, CQ18717
npm/npmjs/@types/mime/2.0.3, , approved, CQ18717
npm/npmjs/-/url-parse-lax/3.0.0, , approved, CQ17757
npm/npmjs/-/source-map-loader/0.2.4, , approved, CQ18717
npm/npmjs/-/regexpu-core/2.0.0, , approved, CQ18717
npm/npmjs/-/nanomatch/1.2.13, , approved, CQ18717
npm/npmjs/-/babel-preset-stage-3/6.24.1, , approved, CQ18717
npm/npmjs/-/ripemd160/2.0.2, MIT, approved, CQ16925
npm/npmjs/-/inherits/2.0.1, ISC, approved, CQ14871
npm/npmjs/-/regenerate/1.4.1, , approved, CQ18717
npm/npmjs/-/babel-plugin-transform-es2015-duplicate-keys/6.24.1, , approved, CQ18717
npm/npmjs/-/combined-stream/1.0.8, , approved, CQ17757
npm/npmjs/-/core-util-is/1.0.2, MIT, approved, CQ16925
npm/npmjs/-/flatten/1.0.3, , approved, CQ18717
npm/npmjs/-/duplexer/0.1.2, , approved, CQ18717
npm/npmjs/-/readable-stream/3.6.0, MIT, approved, CQ22627
npm/npmjs/-/resolve-cwd/2.0.0, , approved, CQ18717
npm/npmjs/-/wordwrap/0.0.3, MIT, approved, emo_ip_team
npm/npmjs/-/json-parse-better-errors/1.0.2, , approved, CQ18717
npm/npmjs/-/p-reduce/1.0.0, , approved, CQ18717
npm/npmjs/-/loose-envify/1.4.0, , approved, CQ18717
npm/npmjs/-/nugget/2.0.1, BSD, approved, emo_ip_team
npm/npmjs/-/decode-uri-component/0.2.0, , approved, CQ18717
npm/npmjs/-/is-typedarray/1.0.0, MIT, approved, CQ16925
npm/npmjs/-/stream-to-observable/0.2.0, , approved, CQ18717
npm/npmjs/-/write-json-file/2.3.0, , approved, CQ18717
npm/npmjs/-/global-modules/1.0.0, , approved, CQ18717
npm/npmjs/-/pump/2.0.1, MIT, approved, CQ16925
npm/npmjs/@types/connect/3.4.33, , approved, CQ18717
npm/npmjs/-/ignore-loader/0.1.2, , approved, CQ18717
npm/npmjs/-/micromatch/2.3.11, , approved, CQ18717
npm/npmjs/-/babel-plugin-syntax-object-rest-spread/6.13.0, , approved, CQ18717
npm/npmjs/-/through/2.3.8, MIT, approved, CQ16925
